"LCSC Part Number","Manufacture Part Number","Manufacturer","Package","Customer #","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price","Product Link"
"C21019","RL30-200","RUILON(Shenzhen Ruilongyuan Elec)","Through Hole","","30V 4A Through Hole Resettable Fuses ROHS","yes","5","5","0.116","0.58","https://assets.lcsc.com/images/lcsc/96x96/20180925_RUILON-Shenzhen-Ruilongyuan-Elec-RL30-200_C21019_front.jpg"
"C433771","RD 1/4W 120R J T/B A1","TyoHM","Axial Leaded","","- 250mW Carbon Resister ±5% 0ppm/℃~+500ppm/℃ 120Ω Axial Leaded Through Hole Resistors ROHS","yes","50","50","0.0078","0.39","https://assets.lcsc.com/images/lcsc/96x96/20191206_TyoHM-RD-1-4W-120R-J-T-B-A1_C433771_front.jpg"
"C402216","1N5408","LGE","DO-27","","1kV 5uA 1kV - 3A 1V 3A DO-27 Diodes - General Purpose ROHS","yes","10","10","0.0566","0.57","https://assets.lcsc.com/images/lcsc/96x96/20190711_LGE-1N5408_C402216_front.jpg"
"C393938","TS665CJ","SHOU HAN","Through Hole","","Top Actuated 50mA @ 12VDC Round Button SPST Through Hole Tactile Switches ROHS","yes","50","50","0.0126","0.63","https://assets.lcsc.com/images/lcsc/96x96/20190525_SHOU-HAN-TS665CJ_C393938_front.jpg"
"C194407","DC-470-2.1GP","GANGYUAN","Through Hole",""," Through Hole AC/DC Power Plugs & Receptacles ROHS","yes","10","10","0.0604","0.6","https://assets.lcsc.com/images/lcsc/96x96/20180914_GANGYUAN-DC-470-2-1GP_C194407_front.jpg"
"C8465","WJ500V-5.08-2P","Ningbo Kangnex Elec","P=5.08mm",""," P=5.08mm Screw terminal ROHS","yes","30","5","0.11","3.3","https://assets.lcsc.com/images/lcsc/96x96/20180914_Ningbo-Kangnex-Elec-WJ500V-5-08-2P_C8465_front.jpg"
"C5305","C5305","BOOMELE(Boom Precision Elec)","SIP-2",""," SIP-2 Shunts & Jumpers ROHS","yes","50","50","0.0071","0.36","https://assets.lcsc.com/images/lcsc/96x96/20180914_BOOMELE-Boom-Precision-Elec-C5305_C5305_front.jpg"
"C3090","RL207","MDD（Microdiode Electronics）","DO-15","","1.1V 2A 1kV 5uA 1kV - 2A DO-15 Diodes - General Purpose ROHS","yes","20","20","0.0205","0.41","https://assets.lcsc.com/images/lcsc/96x96/20180914_MDD-Microdiode-Electronics--RL207_C3090_front.jpg"
"C714300","CF1/4W-1KΩ±5%T52","Huaxing Mechanical-Elec.","Axial Leaded","","- 250mW Carbon Resister ±5% 1kΩ -1500ppm/℃~+300ppm/℃ Axial Leaded Through Hole Resistors ROHS","yes","50","50","0.0055","0.28","https://assets.lcsc.com/images/lcsc/96x96/20201204_Huaxing-Mechanical-Elec--CF1-4W-1KR-5-T52_C714300_front.jpg"
"C433729","RD 1/4W 330R J T/B A1","TyoHM","Axial Leaded","","- 330Ω 250mW Carbon Resister ±5% 0ppm/℃~+500ppm/℃ Axial Leaded Through Hole Resistors ROHS","yes","50","50","0.0078","0.39","https://assets.lcsc.com/images/lcsc/96x96/20191209_TyoHM-RD-1-4W-330R-J-T-B-A1_C433729_front.jpg"
"C254067","CC1H104ZA1PD3F5O30MF","Dersonic","Radial Leaded,P=2.54mm","","5.3mm 2.2mm 2.54mm Y5V 50V -20%~+80% 100nF Radial Leaded,P=2.54mm Ceramic Disc Capacitors ROHS","yes","20","20","0.0211","0.42","https://assets.lcsc.com/images/lcsc/96x96/20180914_Dersonic-CC1H104ZA1PD3F5O30MF_C254067_front.jpg"
"C190817","Z-10006320100100","Nextron(Nextronics Engineering)","DIP-6","","6 0.100""(2.54mm) DIP DIP-6 IC Sockets ROHS","yes","10","5","0.1232","1.23","https://assets.lcsc.com/images/lcsc/96x96/20180914_Nextron-Nextronics-Engineering-Z-10006320100100_C190817_front.jpg"
"C47888","KM477M035F16RR0VH2FP0","CX(Dongguan Chengxing Elec)","Radial Leaded,8x16mm","","3.5mm 16mm 8mm ±20% 35V 470uF 2000hrs 105℃ Radial Leaded,8x16mm Aluminum Electrolytic Capacitors - Leaded ROHS","yes","10","10","0.0524","0.52","https://assets.lcsc.com/images/lcsc/96x96/20190507_CX-Dongguan-Chengxing-Elec-KM477M035F16RR0VH2FP0_C47888_front.jpg"
"C191860","CT4N33","CT Micro International","DIP-6","","DC 1 5000Vrms Transistor Output Optocouplers DIP-6 Optocouplers - Phototransistor Output ROHS","yes","10","1","0.1666","1.67","https://assets.lcsc.com/images/lcsc/96x96/20180929_CT-Micro-International-CT4N33_C191860_front.jpg"
"C115171","Z-100083200100100","Nextron(Nextronics Engineering)","DIP-8","","8 0.100""(2.54mm) DIP DIP-8 IC Sockets ROHS","yes","15","1","0.1485","2.23","https://assets.lcsc.com/images/lcsc/96x96/20180914_Nextron-Nextronics-Engineering-Z-100083200100100_C115171_front.jpg"
"C124363","B-2102S60P-B110","Ckmtw(Shenzhen Cankemeng)","Through Hole,P=2.0mm","","2 2.00mm Straight 60 Header，Breakaway Through Hole,P=2.0mm Pin Header & Female Header ROHS","yes","2","1","0.3657","0.73","https://assets.lcsc.com/images/lcsc/96x96/20180914_Ckmtw-Shenzhen-Cankemeng-B-2102S60P-B110_C124363_front.jpg"
"C138806","B-2202S80P-B121","Ckmtw(Shenzhen Cankemeng)","Through Hole,P=2.0mm","","2 2.00mm 80 Straight Receptacle Through Hole,P=2.0mm Pin Header & Female Header ROHS","yes","2","1","1.5635","3.13","https://assets.lcsc.com/images/lcsc/96x96/20180914_Ckmtw-Shenzhen-Cankemeng-B-2202S80P-B121_C138806_front.jpg"
"C118536","2N2222A","ST(Semtech)","TO-92(TO-92-3)","","30V 0.625W NPN 0.6A TO-92(TO-92-3) Bipolar Transistors - BJT ROHS","yes","20","20","0.0244","0.49","https://assets.lcsc.com/images/lcsc/96x96/20180914_ST-Semtech-2N2222A_C118536_front.jpg"
"C568935","HL-304H3GD","HONGLITRONIC(Hongli Zhihui (HONGLITRONIC)) ","Through Hole,P=2.54mm","","Green-yellow 565~575nm 2.2V - Through Hole,P=2.54mm Light Emitting Diodes (LED) ROHS","yes","20","10","0.0534","1.07","https://assets.lcsc.com/images/lcsc/96x96/20200628_HONGLITRONIC-Hongli-Zhihui--HONGLITRONIC--HL-304H3GD_C568935_front.jpg"
"C132362","K7805M-1000R3","MORNSUN Guangzhou S& T","Through Hole","","36V or 27V 1A or -500mA 5V or -5V 1 Through Hole Power Modules ROHS","yes","5","1","3.9979","19.99","https://assets.lcsc.com/images/lcsc/96x96/20180914_MORNSUN-Guangzhou-S--T-K7805M-1000R3_C132362_front.jpg"
"C123171","13F-64GYD2S2NL","Shanghai YDS Tech","Through Hole","","12 RJ45 - - 1 Through Hole Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS","yes","5","1","2.0828","10.41","https://assets.lcsc.com/images/lcsc/96x96/20180914_Shanghai-YDS-Tech-13F-64GYD2S2NL_C123171_front.jpg"
